"DAT_OCR";"NUM_PLACA";"NUM_VELOCIDADE";"COD_LATITUDE";"COD_LONGITUDE";"LOCEQUIP"
23/07/23;"QNA3053";20;"-22.9537020000";"-43.3757780000";"ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 3300 - SENTIDO RECREIO - FX 2"
23/07/23;"AYA6I90";57;"-22.9809930000";"-43.4099180000";"AVENIDA SALVADOR ALLENDE PROXIMO AO BRT OLOF PALME - SENTIDO PRAIA - FX 2 PISTA LATERAL"
23/07/23;"OUL9616";24;"-22.9732370000";"-43.3709890000";"AVENIDA EMBAIXADOR ABELARDO BUENO PROXIMO AO Nº 1111 - SENTIDO RIOCENTRO - FX 2 PISTA CENTRAL"
23/07/23;"AXW6590";27;"-22.9490640000";"-43.3727000000";"ESTRADA DOS BANDEIRANTES PROXIMO A AVENIDA COMANDANTE GUARANYS - SENTIDO TANQUE - FX 3"
23/07/23;"LUR8055";19;"-22.9640820000";"-43.3945510000";"AVENIDA SALVADOR ALLENDE PROXIMO AO N° 4700 - SENTIDO CURICICA - FX 3 PISTA CENTRAL"
23/07/23;"RJR5608";24;"-23.0035420000";"-43.4334500000";"AVENIDA SALVADOR ALLENDE PROXIMO AO Nº 5400 - SENTIDO CURICICA - FX 3 PISTA CENTRAL"
23/07/23;"LPY5374";24;"-22.9490640000";"-43.3727000000";"ESTRADA DOS BANDEIRANTES PROXIMO A AVENIDA COMANDANTE GUARANYS - SENTIDO TANQUE - FX 2"
23/07/23;"LMK6035";15;"-22.9708330000";"-43.3889620000";"ESTRADA CORONEL PEDRO CORREA PROXIMO AO Nº 1127 - SENTIDO BARRA - FX 3"
23/07/23;"KZA9200";28;"-22.9675310000";"-43.3973870000";"AVENIDA SALVADOR ALLENDE PROXIMO AO Nº 971 - SENTIDO CURICICA - FX 1 PISTA LATERAL"
23/07/23;"KYE7032";33;"-22.9229050000";"-43.3737550000";"AVENIDA NELSON CARDOSO PROXIMO A ESTRADA DO RIO GRANDE - SENTIDO CURICICA - FX 2"
23/07/23;"KZI9087";22;"-22.9214950000";"-43.3706710000";"AVENIDA NELSON CARDOSO PROXIMO A RUA MARECHAL JOSE BEVILAQUA - SENTIDO PRACA SECA - FX 2"
23/07/23;"KVU6663";65;"-22.9998380000";"-43.3543610000";"AVENIDA DAS AMERICAS PROXIMO AO Nº 4430 - SENTIDO SANTA CRUZ - FX 4 PISTA CENTRAL"
23/07/23;"LSJ8566";26;"-22.9731500000";"-43.3854850000";"AVENIDA EMBAIXADOR ABELARDO BUENO PROXIMO AO Nº 2400 - SENTIDO RIOCENTRO - FX 2 PISTA CENTRAL"
23/07/23;"RJT4D12";19;"-23.0054610000";"-43.4311080000";"AVENIDA DAS AMERICAS PROXIMO AO Nº 11899 - SENTIDO SAO CONRADO - FX 3 PISTA CENTRAL"
23/07/23;"KYW8445";26;"-22.9160270000";"-43.2307810000";"RUA SAO FRANCISCO XAVIER PROXIMO AO Nº 371 - SENTIDO UNICO - FX 3 FAIXA EXCLUSIVA BRS"
23/07/23;"RKI8G77";31;"-22.9214950000";"-43.3706710000";"AVENIDA NELSON CARDOSO PROXIMO A RUA MARECHAL JOSE BEVILAQUA - SENTIDO PRACA SECA - FX 1 FAIXA EXCLUSIVA BRT"
23/07/23;"IXL5836";53;"-22.8985570000";"-43.5410890000";"RUA ARTHUR RIOS PROXIMO AO Nº 692 - SENTIDO CAMPO GRANDE - FX 1"
23/07/23;"LMU5814";53;"-22.9696270000";"-43.2174110000";"AVENIDA BORGES DE MEDEIROS PROXIMO AO Nº 2225 - SENTIDO TUNEL REBOUCAS - FX 2"
23/07/23;"RQR0798";43;"-22.8796000000";"-43.3323250000";"RUA CAROLINA MACHADO PROXIMO AO Nº 160 - SENTIDO UNICO - FX 1"
23/07/23;"FMN6045";53;"-22.9006630000";"-43.3821490000";"ESTRADA DO CATONHO PROXIMO AO Nº 916 - SENTIDO JARDIM SULACAP - FX 1"
23/07/23;"IIW5G07";49;"-22.9974840000";"-43.3651030000";"AVENIDA AYRTON SENNA KM 1,7 - SENTIDO LINHA AMARELA - FX 1"
23/07/23;"LSY2345";46;"-22.9974840000";"-43.3651030000";"AVENIDA AYRTON SENNA KM 1,7 - SENTIDO LINHA AMARELA - FX 3"
23/07/23;"CRG0041";35;"-22.9125000000";"-43.2000000000";"AVENIDA SALVADOR DE SA PROXIMO AO Nº 156 - SENTIDO ESTACIO - FX 2"
23/07/23;"KRY1876";61;"-22.9094444400";"-43.2044444400";"AVENIDA PRESIDENTE VARGAS PROXIMO A ESTACAO CIDADE NOVA - SENTIDO PRACA XV - FX 2 PISTA CENTRAL"
23/07/23;"QWS9382";57;"-22.9061111000";"-43.6844444444";"AVENIDA PADRE GUILHERME DECAMINADA PROXIMO AO Nº 420 - SENTIDO GUARATIBA - FX 2"
23/07/23;"LSU9714";32;"000.000000000";"000.0000000000";"RUA BENTO CARDOSO PROXIMO AO Nº 141 - SENTIDO UNICO - FX 1"
23/07/23;"RBA7014";41;"-22.9997222200";"-43.3966666700";"AVENIDA DAS AMERICAS PROXIMO AO Nº 8505 - SENTIDO SANTA CRUZ - FX 1 PISTA LATERAL"
23/07/23;"RKX5009";18;"-22.9155556000";"-43.3866666667";"ESTRADA DA SOCA PROXIMO AO Nº 395 - SENTIDO ESTRADA DO CAFUNDA - FX 1"
23/07/23;"LQO8596";30;"-22.9172611000";"-43.3888991667";"AVENIDA DOS MANANCIAIS PROXIMO AO Nº 1132 - SENTIDO ESTRADA DO TINDIBA - FX 1"
23/07/23;"RNO5833";32;"-22.9411967000";"-43.5905525000";"ESTRADA DO MAGARCA PROXIMO AO Nº 1781 - SENTIDO CAMPO GRANDE - FX 1"
23/07/23;"LRR9450";44;"-22.4850965000";"-43.1223252000";"RUA CAMBAUBA PROXIMO AO Nº 1165 - SENTIDO ESTRADA DO GALEAO - FX 1"
23/07/23;"RIZ4623";40;"-22.9073150000";"-43.2699960000";"RUA BARAO DO BOM RETIRO PROXIMO AO Nº 445 - SENTIDO UNICO - FX 2"
23/07/23;"QUQ8073";26;"-23.0036630000";"-43.3246000000";"AVENIDA AFONSO ARINOS DE MELO FRANCO PROXIMO A AVENIDA DAS AMERICAS - SENTIDO SANTA CRUZ - FX 2"
23/07/23;"KPX9741";22;"-23.0054610000";"-43.4311080000";"AVENIDA DAS AMERICAS PROXIMO AO Nº 11899 - SENTIDO SAO CONRADO - FX 2 PISTA CENTRAL"
23/07/23;"KXK7940";28;"-22.9729910000";"-43.3854900000";"AVENIDA EMBAIXADOR ABELARDO BUENO PROXIMO AO Nº 2400 - SENTIDO RIOCENTRO - FX 1 PISTA LATERAL"
23/07/23;"LYX7261";18;"-22.9639970000";"-43.3941650000";"AVENIDA SALVADOR ALLENDE PROXIMO AO Nº 4700 - SENTIDO CURICICA - FX 1 PISTA LATERAL"
